eSAm iSir;AsaH adr;uhaH
sv;apAH asm;e v;arcaH
pqT;um y;ayA jy;otiH
sapt;a prav;ataH ;A
D;ArayA t;eBiH naH
het;qBiH ;asqgram v;AjasAtaye
sAhv;An indo p;ari
suSwut;im vqSw;im dev;eByaH
h;iraZyA aB;i ;azvAn
vavr;im har;itaH vqSw;im
vicakSaZ;aH s;omaH ;ahnaH
m;artAya dAz;uSe ;indo
;adriBiH p;avamAnam maDuzc;utam
vicakSaZ;aH asm;aByam gAtuv;ittamaH
tv;Am dev;AsaH am;qtAya
;avicetasaH ;indrAya indo
vipazc;itaH s;omAsaH d;aDyAziraH
Bara p;avasva adBy;aH
n;a d;Anam IVKaya
;indo sah;asraBarZasam ut;a
zyen;aH y;at ;anDaH
;atyam mqjanti kal;aze
v;asUni dAz;uSe ;A
pavamAna v;iSZum m;atsi
y;aH v;asUnAm y;aH
bADasva duC;unAm agn;iH
;iti kSara aB;i
j;anam ;A y;aH
matsar;am pr;a s;omAsaH
B;uvanAni praTanta D;iyaH
div;aH t;am veD;Am
svay;am kav;iH viDart;ari
r;AjYaH n;u te
z;ikSa zacIvaH t;ava
sicyase n;qBiH nqc;akSAH
dev;avItaye v;AjAn arSasi
duduhAn;aH ;adrO aBizastip;AH
;A n;i sIdata
asy;a p;atim z;UraH
hinota mahat;e D;anAya
samudr;e v;Acam invasi
v;Aje n;a vAjay;um
g;arBam AdaD;e g;avAm
Ay;avaH dev;AH dev;eByaH
pavamAna DIj;avaH m;adAH
v;Acam invasi ray;im
kqDi s;ana d;akSam
pavasva rIt;im ap;Am
dev;avItaye ;atyAsaH k;qtvyAH
t;antum tat;am p;ari
Ay;avaH v;qTA samudr;am
g;onyoGAH ;indre s;omaH
akramIt s;IdantaH van;uSaH
miSanti B;UrZayaH pad;e-pade
v;iprAsaH mat;iBiH vicakSaZa
m;adAya k;am p;ayaH
s;omAya v;acaH ;udyatam
s;am jitam et;e
g;AH indo s;am
;upa jrayati g;oH
arSanti ;indavaH aB;i
it;aH siYcata sut;am
n;a vizv;adarzataH s;a
paTik;qt vicakSaZ;aH asm;aByam
;aram ;indrasya D;Amne
vAj;I akramIt s;IdantaH
samudr;asya ;aDi viSw;api
naH sadaH t;ava
sicyase n;are ca
arSasi p;avasva v;AjasAtaye
pr;ayAMsi ca ap;aH
v;Are avy;aye s;a
div;i ;adriBiH sut;aH
aKyata s;am ;indreZa
v;izve dev;AH p;avamAnam
;ati D;ArayA p;avamAnaH
indo pavamAna v;iSZum
;indrasya pIt;aye viza
kqZv;an dr;aviZAni arSasi
te soma ;aviDat
pav;itre dakSas;ADanaH eS;a
kqZv;an vqj;anasya r;AjA
arvAc;InEH paT;iBiH y;e
indo p;ari b;ADaH
viza s;am dev;EH
tv;am ;indrAya tozase
mad;intamaH s;omaH cam;USu
mqjy;amAnaH g;aBastyoH dr;uZA
pavate k;qtvyaH r;asaH
soma p;Atave n;qBiH
yat;aH ;A v;Ajam
aMz;uH s;acamAnaH Urm;iZA
p;avamAnaH Urm;iZA r;AjA
;qSiH p;avamAnaH p;AYcajanyaH
pav;itre ;A jihv;AyAH
;aCa v;Ajam sahasr;iZam
aBy;arSan stot;qByaH vIr;avat
p;avasva vizvacarSaZe aB;i
y;oSaZaH sut;am s;oma
;aha biBy;uSA t;e
n;a kradaH h;ariH
;upa zikSa apatasT;uSaH
pUyate ajy;amAnaH s;ome
punAn;Aya veD;ase s;omAya
c;akSase devam;AdanaH kr;atuH
aDvar;e pr;a punAn;Aya
pr;a te m;adAsaH
y;atra jy;otiSmantaH t;atra
div;aH pavasva rIt;im
p;Atave vqtraGn;e p;ari
;ahaBiH y;aH jin;Ati
n;a g;AvaH parIZas;am
uzat;I p;uraMDiH asmadry:ak
mehanti p;eravaH ;arAvIt
p;ari s;omaH qt;am
v;asuttaye kratuv;it gAtuv;ittamaH
soma papqcAn;asya te
s;omAH aB;i gavy;A
parIZas;am kqZute tigm;azqVgaH
d;Atave maG;am Dart;A
arSati DarZas;iH kr;andan
d;aDAnaH ;akSiti zr;avaH
y;aH dUZ;AzaH vanuSyat;A
ajIjanat kqSZ;A t;amAMsi
;A te r;ucaH
ket;uH pavate svaDvar;aH
te r;asaH madir;aH
pav;itram v;itatam div;aH
;adriBiH haryat;am B;UricakSasam
punIh;i ;indrAya p;Atave
;ataH tvA ray;im
viDAt;A B;agaH n;qz;aMsaH
aB;i dv;izavasam pun;Ata
y;atra am;qtAsaH ;Asate
viv;asvataH D;iyaH h;arim
;ajIjanan kav;im m;aMhiSWam
sunv;antam iCati ;indrAya
;adriBiH nUn;am punAn;aH
zyen;aH n;a takt;aH
ty;am d;aza kS;ipaH
dev;AH m;aDoH v;i
ay;am punAn;aH uS;asaH
n;i z;atroH soma
sut;aH ;indrAya matsar;aH
zuSm;I kal;azeSu ;A
aB;i naH vAjas;Atamam
p;ari sy;a suvAn;aH
n;asate r;akSate z;iraH
pav;itre ;A y;at
s;omAH zukr;AH g;avAziraH
vay;am D;anAni vizv;aDA
m;aryaH iva yuvat;iBiH
vasuv;it j;AyamAnaH mqjAn;aH
DAvati s;aKAyaH ;A
varivasya punAn;aH ;ajItaye
D;amanti bAkur;am d;qtim
s;inDavaH praz;iSam soma
;aDvaBiH ;avyaH v;Are
m;aDumattamam dev;eByaH devazr;uttamam
pad;am yajY;asya sapt;a
aB;iSwaye ;induH siSakti
uttam;am ;anu prav;ataH
;oSaDIByaH baBr;ave n;u
aB;i papraTe kr;Ixan
am;qtAya zr;avAMsi pav;itreBiH
;A vacyasva sudakSa
s;Idati j;ahAti ;apracetasaH
te indo ;ojasA
pavate s;omaH g;avye
;indrasya niSkqt;am eS;a
D;Amasu sqjAn;aH indo
aYjAn;aH arSasi p;avasva
upamantr;iZaH z;epaH r;omaZvantO
g;aBastyoH s;omaH cam;USu
mitr;am pr;a minAti
cam;USu s;apanti y;am
purum;eDaH cit t;akave
v;ihAyasaH t;eBiH ;indram
y;asya naH ;indraH
v;izvasya ;IzAnaH ;ojasA
dev;An m;atsi dy;AvApqTiv;I
y;onO ;aDi priy;aH
;A pava s;a
mAsi z;azvataH v;izvasya
dy;uBiH dv;A j;anA
divy;Am jigatn;um ;ixAvatIm
p;Atave m;adAya p;ari
amatsata y;adi g;oBiH
m;anasA ;aha biBy;uSA
AGqZe sut;aH Gqt;am
div;e-dive pur;UZi baBro
barh;iSi priy;e sadaH
ca m;odAH ca
v;qSA h;ariH punAn;aH
biBarti v;aruZam samudr;e
dev;aH dev;eByaH sut;aH
p;avasva soma kratuv;it
ca y;at ;A
indo zat;am D;ArAH
n;ABA vicakSaZ;aH ;avyaH
h;astacyuteBiH ;adriBiH sut;am
d;akSAya s;ADanaH ay;am
m;adaH nqmZ;A z;izAnaH
;A sqj;ata m;aDumattamam
sv;aYcaH sud;qzaH nqc;akSasaH
dev;An ;A pavasva
gAyata aB;i arcAma
Az;um v;AjAya y;Atave
naH vAc;aH jant;uH
r;asena tv;ayA vay;am
v;izvaH y;asya vrat;e
naH ray;im ;upa
ur;u jy;otiH kqZuhi
vid;at gAt;um br;ahmaZe
v;izvAH avasy;uvaH g;iraH
pqcy;ate sicy;ate m;aDu
arSanti v;iSZave tisr;aH
naH kqDi acod;asaH
v;i zr;avAMsi v;i
stqZ;an h;ariH dev;eSu
suS;ahA soma t;Ani
kS;etram ur;u jy;otIMSi
n;aktam ut;a soma
tozate punAn;aH Gn;an
Az;avaH ;indram y;AmeBiH
;indavaH p;avamAnaH aB;i
j;anAn yatate p;aYca
p;ari m;adena sah;a
hit;aH v;qSA z;uSmeZa
asya t;antavaH v;i
aryam;A p;ibanti v;arunaH
p;iprataH n;ABA n;ABim
t;am marmqjAn;am mahiS;am
manazc;it m;anasaH p;atiH
DAvasi s;a naH
arSasi mqjAn;aH v;Are
s;omAsaH Ay;avaH p;avante
apIcy:am pad;am y;at
agn;eH janit;A s;Uryasya
gavy;uH naH arSa
pr;a s;omAya vyazvav;at
g;iraH ven;AnAm akqpanta
s;omAsaH rAy;e akramuH
avqZoH ;apa tv;Am
Ay;avaH kav;im qt;asya
citr;eBiH yAsi razm;iBiH
arSati ;induH hiyAn;aH
z;azvataH v;izvasya r;AjA
dev;An v;izvAni h;i
samIcIn;AsaH Asate h;otAraH
z;am ;arvate z;am
atr;iZam ;apa ;adevam
t;ava vrat;am ;anu
v;ayaH DAH yUy;am
puSyasi p;ari te
;aDi viSw;api j;invan
p;avamAnAH asqkSata s;omAH
Ayat;I ;asya vrat;eSu
acod;asaH naH Danvantu
madacy;utaH D;anA vA
v;Acam iSyati ;induH
pr;a vAj;inaH gavy;A
v;Ajam s;aptiH iva
s;Uryasya duhit;A ;A
;adabDaH suraB;intaraH sut;e
vAZ;am s;a raMhate
s;oma dvib;arhasam ray;im
tm;anA yahv;I qt;asya
aps;u ;acikradat kal;aze
;iSam v;arDa samudr;am
v;Acam v;adan gr;AvZA
kal;azeSu DAvati zyen;aH
pavasva pUy;amAnaH svast;i
hit;e st;avE ;abiByuSA
;indrAya indo p;ari
dev;eByaH d;uvaH iS;e
suparZ;aH ;ava cakSi
;Urjam v;asAnaH zr;avase
tvA sut;eSu AB;uvaH
priy;aH sah;asraDAraH yAt
rocayat ay;am s;inDuByaH
p;azyamAnAsaH ;Apyam vasur;ucaH
makS;u sumat;iH Bava
t;ava Ut;iBiH ;aTa
;utsam vIr;am ca
t;am tvA Dart;Aram
samudr;am s;inDavaH n;a
m;adAya vAvqDuH tv;Am
aruhat vicakSaZ;aH qt;asya
usr;iyaH n;Anadat eti
v;Ajam g;omantam ;A
v;i AnazuH ut;a
;arpitaH tv;am suv;IraH
indo n;a d;Anam
juSwv;I naH indo
j;ahat z;aryAZi t;AnvA
B;uvanasya pate vay;am
D;armaBiH p;atiH v;izvasya
;A Bara pr;a
t;am n;araH hit;am
sapt;a D;AmaBiH ;aDa
y;am div;aH p;ari
rodasI ray;im m;aDvaH
et;e DAvanti ;indavaH
g;opatim pqC;amAnAH s;omam
vqD;e s;oma r;Asva
k;arat v;asUni dAz;uSe
sp;qDaH v;izaH r;AjA
pr;a y;aH n;qBiH
t;am ;it varDantu
;agre vAc;aH p;avamAnaH
vAc;aH agriy;aH s;oma
Ut;aye t;ava zukr;AsaH
s;a mAt;arA n;a
pit;A eSAm pratn;aH
draps;am aruZ;am mayoB;uvam
jIv;ase gov;it pavasva
deva savitar v;arSiSWEH
kany:A anUSata mqjy;ase
p;ari srava s;oma
j;Ayate svay;am kav;iH
pr;a minAti saMg;iram
arSanti suSwut;im ;A
Im haMs;aH y;aTA
h;Ardi Aviz;an ;indrasya
samudr;am ;A viza
v;Aram avy;ayam y;at
t;apasA sut;aH ;indrAya
soma pr;a u
s;Uryasya razm;iBiH p;ari
sy;a suvAn;aH avy;ayam
sahasras;Am ;qSim ay;am
vAy;uH azv;inA tv;aSwA
avy;ayam punAn;aH ;induH
arSa sahasr;iZam ray;im
eS;a dev;aH raTaryati
y;onim As;adam mqj;anti
mitr;e v;aruZe ca
p;ari suvAn;aH h;ariH
kqDi p;avItAraH punIt;ana
;anIke ;At Im
dev;avItim ;indrAya soma
;aDi zrut;e zrav;Ayyasya
pavasva B;agam ca
srava ;azvaH v;oXA
mar;utvate p;avasva m;aDumattamaH
v;qSA h;i ;asi
m;ahi ps;araH s;ukqtam
apIcy:am n;Ama tqt;Iyam
nirZ;ijam t;anA ;adriBiH
ap;Am r;asena tv;ayA
m;aDoH D;ArABiH jan;ayantaH
daDe r;ocamAnaH v;ayaH
r;asaH v;ipraH kav;iH
p;ari g;oBiH ;Avqtam
daz;aBiH suk;armaBiH pr;a
dy;Am ca pqTiv;Im
;aZvAni meSy:aH mIX;e
pItv;A vqSaB;aH vqSAy;ate
raTirAy;atAm uzat;I p;uraMDiH
v;asAnaH zr;avase sumaVg;alaH
sicy;ate m;aDu mandr;AjanI
B;uvat ;indrAya matsar;aH
arSa ;azvam n;a
vqSaB;aH v;i tiSWase
st;uBaH y;aH D;ArayA
dy;Am ut;a im;Am
n;asate s;ADate gir;A
suk;armaBiH p;avasva soma
yujyate s;am Den;uBiH
tv;am soma s;UraH
vasuv;it hiraZyav;it retoD;AH
Anand;AH ca m;odAH
cakradat v;ane sv:ar
v;i tanvate pav;itram
p;avamAnaH ;adAByaH eS;a
mAt;araH veD;Am azAsata
z;izuH n;a jAt;aH
zr;avaH bqh;at daD;e
suv;Iryam urv;Im g;avyUtim
s;a ;agre ;ahnAm
indrahav;An s;aKiByaH ;A
vA z;ucInAm p;avasva
naH v;asyasaH kqDi
pibdan;A p;aruSA yayiv;An
dAnud;aH divy;aH dAnupinv;aH
mat;iBiH pqC;amAnAH s;omaH
maMhay;uH pav;itram soma
;indram ;A viza
v;ane kr;Ixantam ;atyavim
tr;I soma rocan;A
Bava s;anemi kqD;i
aB;i v;Ajam arSa
;avyaH v;AreSu asmay;uH
atarpayat ;ava k;alpeSu
pav;itre adr;uhaH vats;am
sicaH ;A naH
s;u cet;unA m;A
v;adan gr;AvZA s;ome
vIr;avantam ugr;am t;akSat
dAz;uSe v;asu s;omaH
kqZv;an ap;aH varS;ayan
sut;AH vid;aTe akramuH
n;a sAnas;iH ;indrasya
sut;aH d;aDAnaH kal;aze
duhAn;aH pratn;am ;it
naH soma mqxaya
y;at im;e pavamAna
;anu pratn;AsaH Ay;avaH
vAjas;aniH varivov;it vayoD;AH
sam;ayA ;ati yAti
aBarat vinaMgqs;aH s;am
asm;aByam v;AjAn m;atsi
uB;e ant;ar r;odasI
h;i sma puruhUt;aH
tisr;aH v;AcaH maKasy;uvaH
daDn;A y;at Im
;ahan ;asazcuSI kSum;at
Urm;im n;a b;iBrat
Den;avaH p;avamAna v;iDarmaZi
n;a D;ArA ;ati
mat;I s;a vAy;um
Im qt;asya sud;uGAH
I riZanti barh;iSi
m;aDumAn qt;AvA dev;aH
Bara punAn;aH indo
tripqSW;aH uS;asaH v;i
mUrD;A v;qSA sut;aH
sv:ar n;a haryat;aH
G;qSvayaH matsar;AsaH svarv;idaH
soma mIXvaH qtavAk;ena
pavamAna dyumn;Ani indo
m;atsi mah;Am ;indram
iyarti v;izvam ;A
z;qVge z;izAnaH arSati
soma sar;aTam punAn;aH
arvAv;ataH sut;aH ;indrAya
sUpasT;ABiH n;a Den;uBiH
v;Ajam arSa ;azvam
mar;utAm iva svan;aH
s;omam pav;itre ;A
trit;asya m;arjyaH B;uvat
sn;uBiH ;avInAm ;azvayA
;azvAvat g;omat y;avamat
Ut;aye t;ABiH pav;itram
v;asAnaH yajat;aH divisp;qzam
;ava naH m;qDaH
uS;asaH p;qzniH agriy;aH
y;uDvA mahat;aH upabd;iH
m;aDu ;A BakSat
;indum ;induH paviSwa
pav;itre r;ajasaH v;iDarmaZi
;A pavasva naH
vic;akSase ;indo stotr;e
v;iprAH anUSata g;AvaH
itT;ADiye d;ivodAsAya z;ambaram
sIdata p;ari pr;a
Ir;ayan vid;aTeSu ;induH
kS;arat v;izvAni mandr;aH
s;omaH dev;eByaH sut;aH
indo p;avamAnaH m;ahoBiH
pIt;aye et;am ty;am
soma mIXvaH punAn;aH
;avyaH v;AreBiH ut;a
g;oBiH ;Avqtam tqt;Iye
;arSat mitr;asya v;aruZasya
;akSitA mah;I apAr;e
s;aKye n;aryaH ruc;e
eS;a pratn;ena m;anmanA
svaD;ayoH apIcy:am mad;intamaH
Urm;iZA h;arim navante
zravasy;avaH s;omAsaH rAy;e
Bavati nirZ;ik avy;ayI
yat;aH pr;a hinvAn;AsaH
Badr;A v;astrA samany:A
hinvanti veD;asaH p;avamAna
v;izvAH aB;i s;am
k;Amyam bqh;antam ray;im
p;qznimAtaraH c;Aru priy;atamam
mahIy;uvaH p;avamAna ruc;A-rucA
saMtan;im eSi kqZv;an
DAvanti Den;avaH pr;a
asqkSata s;Uryasya iva
mam;e yamy:A saMyat;I
vqtr;A jaG;Ana p;ibanti
s;Uram ;usrayaH sv;asAraH
vAy;unA sut;aH eti
;indrAya pIt;aye et;am
p;ariSkqtaH ;indrAya indo
yuj;A napt;IBiH y;aH
;apa s;omaH ;arAvZaH
eSAm s;a pratnav;at
dAnupinv;aH qt;am qt;Aya
naH g;ayam Ar;e
;indo v;Ajam siSAsasi
sv:ar dqz;e s;ADAraZam
v;qSZaH sut;asya ;ojasA
siSAs;atU rayIZ;Am v;AjeSu
vAy;ave m;adaH p;avamAna
h;i ;avasA p;AntaH
indriy;Aya D;Ayase pr;a
cit h;i sm;asi
prAt;ar makS;u Diy;AvasuH
n;a nimn;am aB;i
asi soma pUrB;it
maDuzc;utam ;A pavasva
mIXvaH punAn;aH varDa
aB;i vAsayAmasi s;a
v;iprAsaH amadan avasy;avaH
ac;itaH aca it;aH
sqjy;amAnaH v;qTA p;AjAMsi
s;omam ;adriBiH nUn;am
p;avante v;Are avy;aye
matIn;Am pavate vicakSaZ;aH
Buvat ;aDa dvit;A
soma D;ArayA v;qSA
;ut iyarti vAy;uBiH
n;a t;qSZA s;am
;ati eti r;eBan
s;omaH ;ati D;ArayA
akramIt s;a v;ahniH
r;akSAMsi ;apa durg;ahAZi
maDuzc;utam h;arim hinv;anti
yanti mat;ayaH vAvazAn;AH
te asy;a vqtrahan
B;ava v;Ajasya saMgaT;e
s;a pavasva vicarSaZe
;indo ruc;A aB;i
barh;iSi p;avamAna sv:ar
tv;am suv;IraH asi
gaBIr;am t;ava soma
yAti haryat;aH y;atra
sarvaD;AH asi y;aH
eS;a d;ivam v;i
takt;aH arSasi s;Idan
p;avasva vqtrahantama ukT;eBiH
y;ajyave v;aruZAya mar;udByaH
DAvati eS;a pav;itre
Az;uH qt;asya s;Idati
;aZvIH samary;e ;A
;avase mah;e ;indrAya
pav;itre ;aDi tozate
m;aDumattamam s;omam ;indrAya
san;im meD;Am ut;a
mah;aH pur;UZi sAt;aye
pav;itram ;ati eti
soma mqxaya s;a
prAc;Inam ;ojasA p;avamAnaH
v;oXA raG;uvartaniH v;qSA
d;aza sv;asAraH ;aditeH
;upa gir;A im;e
indo m;adAya ev;a
usr;iyaH v;qSA ap;Am
;A div;aH pqSW;am
aYjat;e kr;atvA zukr;eBiH
tir;aH ;aZvAni meSy:aH
;A Dehi z;atruSu
u ty;am d;aza
n;amoBiH ;indavaH ;indra
v;izvA dAz;uSe v;asu
r;asena ;indrAya v;qSZe
soma p;ari sicyase
v;qSA ;ava cakradaH
;indrAya ;induH pavate
dugD;am ;aditeH iSir;am
r;oruvat s;Idan zyen;aH
suv;Iryam v;qSA matIn;Am
mah;e v;AjAya Danvantu
v;izvA D;AmAni Aviz;an
v;aram ut;a tv;Am
asm;at ;A rakS;asam
hinvAn;aH m;AnuSA yug;A
oZy:oH r;asam m;adAya
sud;qzaH nqc;akSasaH qt;asya
zazvattam;am barh;iH ;A
u ty;am madacy;utam
asi soma vizvav;it
soma r;ADase punAn;aH
d;aza y;oSaZaH sut;am
zudD;aH dev;AnAm ;upa
Im vizv;ataH p;ari
div;aH y;aH skamB;aH
manoy;ujam sqj;a vqSw;im
nqmZ;A punAn;aH arSasi
aB;i v;izvA p;ArTivA
aps;u mAmqje viSwamB;aH
;A y;asmin g;AvaH
zruSw;I jAt;AsaH ;indavaH
;aDi tvac;i k;anikradat
t;at uzanti v;izve
t;ava vrat;e soma
pav;itrA v;itatAni eSi
s;Uryam ;aTa naH
g;avyAni vIt;aye nqmZ;A
sah;asraDAraH pavate m;adAya
marjayanta sv;asAraH d;aza
jIv;ase tv;am soma
vipazc;itam t;anA punAn;aH
ugr;am t;akSat y;adi
hr;utaH r;ADaH d;itsantam
IzAn;A pipyatam D;iyaH
nAv;AH anUSata t;ayA
Urm;iH p;avamAnaH arSasi
h;i s;aH D;anvan
naH soma z;am
saMy;ataH pr;a u
svadayanta gUrt;iBiH s;am
h;iraZyavat ;upa mAsva
g;arBam ;A daDuH
maG;A ca maMhate
gavy;uH acikradat p;avamAnaH
kr;Ixan h;ariH ;atyaH
hit;aH nady:aH ajinvat
nirZ;ijam ;ati zrit;I
p;ari yAsi nirZ;ijam
pavasva sumqxIk;aH anavady;aH
viv;asvataH j;anantaH uS;asaH
marmqjAn;aH Ay;uBiH pr;ayasvAn
zrIZItana ;indum ;indre
s;omam g;AvaH Den;avaH
c;ekitat s;am razm;iBiH
gAtuv;ittamaH v;Ajam jeSi
m;andamAnaH svAyuDa ih;a
d;aDAnaH ;ojasA t;am
v;qSA v;i jajYe
kav;ikratuH pr;a-pra kS;ayAya
sunvir;e y;e vA
pav;itram soma D;AmaBiH
;A sqjy;amAnaH s;Idan
;indram m;adaH gaCatu
DIt;iBiH p;avamAnAH asqkSata
bqh;at s;a Band;anAH
aB;i g;AH ihi
yAhi sar;aTam r;ADaH
qD;ak soma svast;aye
z;izum n;a yajY;EH
jan;ayan ;amartyaH prat;apan
k;AmAH nikAm;AH ca
g;oBiH zrIZAn;aH pr;a
kal;azeSu sIdasi p;avasva
;A pavasva sahasr;iZaH
asaran punAn;AH ;indram
pr;a svAn;AsaH r;aTAH
B;uvanAni v;izvA dev;eSu
asqgram Az;avaH aB;i
;iSam g;omat indo
mqxaya s;a naH
;A pr;a naH
p;ari ;arAtIH v;arivaH
;A sah;asrAZi dadmahe
v;i v;AjAn vqzc;a
priy;am m;aDu D;ArA
c;akSuH cit s;Urye
pinva vidy;ut aBr;A
s;omaH arSati v;iSZave
naH nivez;e dvip;ade
nasanta m;aDvaH ay;Asam
kav;im m;aMhiSWam aDvar;e
s;Idan v;aneSu avyata
s;a vAy;um ;indram
s;Anavi p;avamAnaH arocayat
v;AjasAtaye p;avasva bqhat;IH
mqjy;amAnaH daz;aBiH suk;armaBiH
Az;iram y;e te
y;aH te indo
kav;iH k;AvyA B;arate
punAn;aH praj;Am urAZ;aH
naH g;iraH tv;otAsaH
punAn;aH indo UrZuhi
Az;avaH zuBr;AH asqgram
soma j;AgqviH ;indrAya
p;anTAm qt;asya zukr;aH
mamire asya mAy;ayA
s;Uryam par;aH zakun;AH
devay;uH m;aDoH D;ArAH
pavate sut;aH vAvqDAn;Aya
ratnaD;AH y;onim qt;asya
kqZv;an ;indrAya soma
g;oBiH aYjAn;aH arSasi
qt;e pavate D;Ama
namasya r;AjAnam y;aH
nIyase tv;am soma
srava y;aH ;indoH
taviSy;amAZaH jaW;areSu ;A
ay;am naH vidv;An
g;AH ap;aH h;ariH
arSasi v;i zr;avAMsi
parisp;qDaH ay;A nijaGn;iH
s;adA naH pr;a
dvit;A ;upa trit;asya
pavase matsar;avAn hinvAn;aH
kal;azAn ayAsIt s;Idan
indriy;Aya vanv;an ;avAtaH
br;ahma nirZ;ije pr;a
et;e pqSW;Ani r;odasoH
n;a r;aTyam n;avam
atr;iZaH bqh;at vadema
mand;inaH pav;itravantaH akSaran
naH v;AjasAtaye p;avasva
iSyasi ;indo sah;asraBarZasam
y;am p;aYca sv;ayazasam
m;adaH p;ari triD;AtuH
m;aDumat suv;Iryam v;qSA
j;ohuvat y;asya te
dUr;e vA sat;aH
DIB;iH asvaran hinvat;IH
pUrv;acittaye ;A zAsate
carSaZ;IH aB;i ray;im
soma p;avamAnaH asmay;uH
svAd;uH mitr;Aya v;aruZAya
Ir;ayan p;avasva vizvamejaya
tvac;i zraTnIt;e napt;IH
;induH ;indrAya tozate
D;ArA ut;a sma
v;i pavamAna DAvati
sahasras;AH Buvat ukT;am
soma p;Atave m;adAya
c;akriH hant;A vqtr;AZAm
;indrAya v;aruZAya vAy;ave
kqZv;an Gan;A iva
g;AvaH parIZas;am kqZute
yat;aH v;i nIyase
br;avan pariSkqZv;an ;aniSkqtam
vAy;oH ;indrasya niSkqt;am
v;i zazraTe t;ejiSWAH
jah;i m;qDaH r;Asva
eS;a vAj;I hit;aH
n;a vAjay;um ;avyaH
;A Iraya ray;im
p;avasva jan;ayan ;iSaH
sahasr;iZam et;am trit;asya
;atyAsaH n;a sasqjAn;AsaH
iva pravaZ;e nimn;e
t;uByam arSanti s;inDavaH
s;omaH ;aDi tvac;i
tv;am v;izvasya B;uvanasya
m;qDaH kratuv;it soma
pav;itreBiH p;avamAnAH asqgran
akSaran sut;AH ;indrAya
rAjati dyum;An jy;otiH
asqkSata r;eBan pav;itram
uz;anA k;Avyena s;a
svAyuD;aH sot;qBiH pUy;amAnaH
sut;aH s;ana ca
haryat;aH y;atra am;qtAsaH
suSvAZ;aH ;adriBiH aB;i
vIt;e aDvar;e jAy;A
s;omaH mIXv;An aB;i
gqh;am Gqt;am pavasva
urAZ;aH k;arat v;izvAni
eti avy;ayam zyen;aH
tast;amBa r;odasI h;ariH
s;a sapt;a DIt;iBiH
vasuv;idam aB;i v;AZIH
;A ;indrasya pIt;aye
s;Uryasya divy;aH suparZ;aH
mUrD;an zrIZ;anti agriy;am
kav;iH n;qBiH yat;aH
;indave aB;i dev;An
saKy;e indo div;e-dive
s;amitIH iyAn;aH s;omaH
m;aDumantam ;adriBiH duh;anti
sut;aH Druv;e s;adasi
m;adaH rAjan aduCun;aH
indriy;Aya D;Ayase ;A
Urj;e v;i avy;ayam
c;etanam div;aH pqTivy;AH
qt;A matIn;Am s;omaH
v;Aram v;i DAvasi
p;avItAraH punIt;ana s;omam
indo zat;adAtu ;azvyam
qt;am yat;e ;Ize
;A haryat;aH ;arjune
n;a haryat;aH s;a
dev;eByaH soma matsar;aH
div;aH p;ari ;indo
y;aH niy;utvAn iSw;ayAmA
;indum nAv;AH anUSata
qt;asya s;Idati j;ahAti
y;oSaZAm var;aH n;a
amitrah;A v;icarSaZiH p;avasva
v;asyasaH kqDi s;amidDaH
viSw;apam duhat;e p;qznimAtaraH
peyAH kr;atve d;akSAya
B;ojanA pUy;amAnaH ;aTa
suv;Iryam suvAn;AH dev;AsaH
dr;oZAni DAvati ;induH
nqS;AH asi azvas;AH
p;avamAnam v;icarSaZim ;indum
v;izvA vqtr;AZi jiGnate
jy;otiH vid;Asi naH
mahiS;aH v;aneSu sAkam;ukSaH
s;am g;oBiH vAsayAmasi
D;ArayA m;aDvA pqcAn;aH
trit;asya n;Ama jan;ayan
praz;iSaH n;avIyasIH p;atiH
apinvaH ark;EH k;anikradat
ut;a zr;avaH pr;a
t;at s;am Azata
vacov;it aDvasm;aBiH s;UraH
;indrAya v;qSZe ;indum
;ekasya p;iprataH n;ABA
priy;AH anUSata g;AvaH
Aviz;an punAn;aH yAti
dev;A nqc;akSasA h;otArA
p;avamAnAH svard;qzaH y;onO
;azvaH n;a nikt;aH
;aDa y;at im;e
p;avamAnam s;aKAyaH durm;arSam
anUSata t;ayA pavasva
dr;aviZasvantaH ih;a santu
indray;uH y;avaM-yavam naH
aB;i s;omam akSaran
;avye bqh;at s;omaH
;aCa sut;AH pav;itram
d;aDat asm;aByam soma
niy;utvAn m;aDvaH aMz;uH
r;aZAya m;ahi im;e
sIdasi sut;aH ;indrAya
m;adAya G;qSvaye ulokakqtn;um
aB;i arSa sahasr;iZam
ruc;A ;A te
Ix;enyaH p;avamAnaH ray;iH
pavasva g;aviSwaye mah;e
naH soma vIr;avat
p;ari adravat j;AH
asm;An Ad;idezati zat;am
;upa priy;am p;anipnatam
hav;iH t;ena soma
t;Ani t;uByam p;avamAna
div;aH div;aH n;a
soma ps;arase devap;AnaH
pav;itrA hqd;i ant;ar
sUr;iSu zr;avaH bqh;at
kr;atvA t;ava Ut;iBiH
naH g;iraH vats;am
;aditeH iSir;am ur;u
codayaH aB;i v;iprAH
y;ena zr;avAMsi Anaz;uH
;ataH mat;IH janayata
puruv;AraH aps;u ;acikradat
t;am g;AvaH aB;i
sut;aH ;avyaH v;AreBiH
mqjanti azvahay;EH ;anizitam
rayIZ;Am c;iketa y;at
h;i s;omaH kal;azAn
;aGnyAyAH ;induH D;ArABiH
s;oma divy;Ani p;ArTivA
mandr;ayA yAti D;ArayA
