daDiSe g;iraH
vAy;um aB;i
pratn;am saD;asTam
arSa ;azvam
v;Acam upavakt;A
;avye punAn;am
r;aMhyA aBy;arSan
v;izvAH aB;i
v;icarSaZiH aps;AH
s;Uryasya razm;iBiH
hinv;an qt;asya
vqtrah;antamaH p;arSi
granT;im n;a
j;AtavedaH punIh;i
s;a B;ikSamAZaH
udvarD;ayan g;iraH
sAsahv;An soma
pavasva sahasr;iZaH
div;aH krAZ;A
n;a j;Iyate
p;UrveByaH zatas;AH
k;armaZA dev;avItO
indo pav;itre
pUt;aH aty;eSi
bqh;antam ray;im
ay;am z;arDAya
sv;asAraH ;aditeH
D;ArAH dev;ajAtAH
y;adi s;abanDavaH
arSati sah;asraDAraH
hant;A v;izvasya
s;omaH s;ahaH
vAj;I hit;aH
pit;A eSAm
s;inDuH n;a
;ati v;ArAn
svard;qzaH y;onO
vaH saKAyaH
dev;atAte indo
kqDi acod;asaH
j;aGniH vqtr;am
;invati p;avamAnaH
;akSitam z;aryABiH
t;am I
pr;a asya
p;avamAnam juSanta
iva har;itA
mqj;anti s;ugaBastayaH
adveS;e dy;AvApqTiv;I
nikAm;AH ca
niy;utvAn iSw;ayAmA
asya d;aMsasA
jaW;are punAn;aH
kAr;iZaH punAn;aH
suvAn;aH akSAr
y;at im;e
n;i n;ediSWatamAH
v;qSA h;arI
br;ahma nirZ;ije
n;amasA ;it
hit;am ;avyaH
pr;a reB;aH
v;asUni pibdan;A
d;asyum avrat;am
